word,definition
piping crow-shrike,crow-sized black-and-white bird; a good mimic often caged
Gymnorhina tibicen,crow-sized black-and-white bird; a good mimic often caged
winter wren,small wren of coniferous forests of Northern Hemisphere
Troglodytes troglodytes,small wren of coniferous forests of Northern Hemisphere
Troglodytes aedon,common American wren that nests around houses
long-billed marsh wren,American wren that inhabits tall reed beds
Cistothorus palustris,American wren that inhabits tall reed beds
short-billed marsh wren,small American wren inhabiting wet sedgy meadows
Cistothorus platensis,small American wren inhabiting wet sedgy meadows
Salpinctes obsoletus,wren inhabiting badlands and mesa country of western United States and Mexico
Carolina wren,large United States wren with a musical call
Thryothorus ludovicianus,large United States wren with a musical call
cactus wren,large harsh-voiced American wren of arid regions of the United States southwest and Mexico
mockingbird,long-tailed grey-and-white songbird of the southern United States able to mimic songs of other birds
Mimus polyglottos,long-tailed grey-and-white songbird of the southern United States able to mimic songs of other birds
blue mockingbird,mockingbird of Mexico
Melanotis caerulescens,mockingbird of Mexico
grey catbird,North American songbird whose call resembles a cat's mewing
gray catbird,North American songbird whose call resembles a cat's mewing
Dumetella carolinensis,North American songbird whose call resembles a cat's mewing
mocking thrush,thrush-like American songbird able to mimic other birdsongs
brown thrasher,common large songbird of eastern United States having reddish-brown plumage
brown thrush,common large songbird of eastern United States having reddish-brown plumage
Toxostoma rufum,common large songbird of eastern United States having reddish-brown plumage
New Zealand wren,birds of New Zealand that resemble wrens
Xenicus gilviventris,short-tailed bird resembling a wren
rifleman bird,small green-and-bronze bird
Acanthisitta chloris,small green-and-bronze bird
tree creeper,any of various small insectivorous birds of the Northern Hemisphere that climb up a tree trunk supporting themselves on stiff tail feathers and their feet
brown creeper,a common creeper in North America with a down-curved bill
American creeper,a common creeper in North America with a down-curved bill
Certhia americana,a common creeper in North America with a down-curved bill
European creeper,common European brown-and-buff tree creeper with down-curved bill
Certhia familiaris,common European brown-and-buff tree creeper with down-curved bill
wall creeper,crimson-and-grey songbird that inhabits town walls and mountain cliffs of southern Eurasia and northern Africa
Tichodroma muriaria,crimson-and-grey songbird that inhabits town walls and mountain cliffs of southern Eurasia and northern Africa
European nuthatch,a kind of nuthatch
Sitta europaea,a kind of nuthatch
red-breasted nuthatch,bluish-grey nuthatch with reddish breast; of northern coniferous forests
Sitta canadensis,bluish-grey nuthatch with reddish breast; of northern coniferous forests
white-breasted nuthatch,bluish-grey nuthatch with black head and white breast; of eastern North America
Sitta carolinensis,bluish-grey nuthatch with black head and white breast; of eastern North America
black-capped chickadee,chickadee having a dark crown
Parus atricapillus,chickadee having a dark crown
Poecile atricapillus,chickadee having a dark crown
tufted titmouse,crested titmouse of eastern and midwestern United States
Parus bicolor,crested titmouse of eastern and midwestern United States
Baeolophus bicolor,crested titmouse of eastern and midwestern United States
Carolina chickadee,southern United States chickadee similar to the blackcap but smaller
Parus carolinensis,southern United States chickadee similar to the blackcap but smaller
Poecile carolinensis,southern United States chickadee similar to the blackcap but smaller
Parus caeruleus,widely distributed European titmouse with bright cobalt blue wings and tail and crown of the head
Cyanistes caeruleus,widely distributed European titmouse with bright cobalt blue wings and tail and crown of the head
Chamaea fasciata,small brown bird of California resembling a wren
Auriparus flaviceps,very small yellow-headed titmouse of western North America
fairy bluebird,fruit-eating mostly brilliant blue songbird of the East Indies
barn swallow,common swallow of North America and Europe that nests in barns etc.
chimney swallow,common swallow of North America and Europe that nests in barns etc.
Hirundo rustica,common swallow of North America and Europe that nests in barns etc.
cliff swallow,North American swallow that lives in colonies and builds bottle-shaped mud nests on cliffs and walls
Hirundo pyrrhonota,North American swallow that lives in colonies and builds bottle-shaped mud nests on cliffs and walls
tree swallow,of Australia and Polynesia; nests in tree cavities
tree martin,of Australia and Polynesia; nests in tree cavities
Hirundo nigricans,of Australia and Polynesia; nests in tree cavities
Petrochelidon nigricans,of Australia and Polynesia; nests in tree cavities
white-bellied swallow,bluish-green-and-white North American swallow; nests in tree cavities
tree swallow,bluish-green-and-white North American swallow; nests in tree cavities
Iridoprocne bicolor,bluish-green-and-white North American swallow; nests in tree cavities
house martin,common small European martin that builds nests under the eaves of houses
Delichon urbica,common small European martin that builds nests under the eaves of houses
bank martin,swallow of the Northern Hemisphere that nests in tunnels dug in clay or sand banks
bank swallow,swallow of the Northern Hemisphere that nests in tunnels dug in clay or sand banks
sand martin,swallow of the Northern Hemisphere that nests in tunnels dug in clay or sand banks
Riparia riparia,swallow of the Northern Hemisphere that nests in tunnels dug in clay or sand banks
purple martin,large North American martin of which the male is blue-black
Progne subis,large North American martin of which the male is blue-black
wood swallow,Australasian and Asiatic bird related to the shrikes and resembling a swallow
swallow shrike,Australasian and Asiatic bird related to the shrikes and resembling a swallow
scarlet tanager,the male is bright red with black wings and tail
Piranga olivacea,the male is bright red with black wings and tail
western tanager,of western North America; male is black and yellow and orange-red
Piranga ludoviciana,of western North America; male is black and yellow and orange-red
summer tanager,of middle and southern United States; male is deep rose-red the female mostly yellow
